tempo,Vo
1780861927.145,0
1780861927.156,0
1780861927.166,5
1780861927.176,14
1780861927.186,27
1780861927.197,43
1780861927.207,60
1780861927.217,83
1780861927.228,105
1780861927.237,127
1780861927.247,155
1780861927.257,184
1780861927.267,215
1780861927.277,241
1780861927.287,269
1780861927.297,302
1780861927.307,333
1780861927.317,359
1780861927.327,387
1780861927.337,416
1780861927.347,442
1780861927.357,462
1780861927.367,486
1780861927.377,507
1780861927.387,524
1780861927.398,543
1780861927.407,553
1780861927.417,564
1780861927.427,571
1780861927.438,576
1780861927.447,578
1780861927.457,578
1780861927.468,578
1780861927.478,569
1780861927.487,563
1780861927.497,553
1780861927.507,540
1780861927.518,525
1780861927.528,510
1780861927.538,490
1780861927.548,471
1780861927.559,449
1780861927.569,429
1780861927.578,409
1780861927.588,386
1780861927.599,363
1780861927.609,340
1780861927.618,318
1780861927.628,297
1780861927.639,273
1780861927.649,254
1780861927.658,235
1780861927.668,218
1780861927.679,200
1780861927.689,185
1780861927.699,173
1780861927.709,162
1780861927.72,151
1780861927.73,143
1780861927.74,140
1780861927.749,137
1780861927.759,137
1780861927.77,136
1780861927.78,140
1780861927.789,143
1780861927.799,151
1780861927.81,159
1780861927.82,170
1780861927.829,179
1780861927.839,193
1780861927.85,208
1780861927.86,222
1780861927.869,234
1780861927.879,252
1780861927.89,273
1780861927.9,289
1780861927.91,307
1780861927.919,320
1780861927.93,338
1780861927.94,354
1780861927.95,371
1780861927.959,385
1780861927.97,398
1780861927.98,413
1780861927.99,425
1780861927.999,434
1780861928.01,443
1780861928.02,453
1780861928.03,458
1780861928.04,463
1780861928.051,468
1780861928.061,470
1780861928.071,470
1780861928.081,468
1780861928.091,466
1780861928.101,463
1780861928.111,457
1780861928.121,450
1780861928.131,440
1780861928.141,432
1780861928.151,423
1780861928.161,410
1780861928.171,402
1780861928.181,390
1780861928.191,378
1780861928.201,364
1780861928.212,351
1780861928.222,337
1780861928.232,325
1780861928.242,313
1780861928.253,299
1780861928.262,292
1780861928.272,278
1780861928.282,267
1780861928.293,257
1780861928.302,248
1780861928.312,241
1780861928.322,236
1780861928.333,229
1780861928.342,223
1780861928.352,221
1780861928.362,219
1780861928.372,218
1780861928.382,217
1780861928.392,219
1780861928.402,220
1780861928.412,224
1780861928.423,229
1780861928.432,235
1780861928.442,239
1780861928.452,249
1780861928.463,256
1780861928.472,263
1780861928.482,271
1780861928.492,282
1780861928.503,290
1780861928.512,300
1780861928.522,310
1780861928.532,319
1780861928.543,329
1780861928.553,340
1780861928.563,347
1780861928.573,356
1780861928.584,366
1780861928.594,374
1780861928.603,380
1780861928.613,385
1780861928.624,391
1780861928.634,397
1780861928.643,399
1780861928.653,406
1780861928.664,406
1780861928.674,407
1780861928.683,407
1780861928.693,409
1780861928.704,405
1780861928.714,404
1780861928.724,401
1780861928.734,399
1780861928.745,393
1780861928.755,388
1780861928.765,384
1780861928.774,378
1780861928.785,372
1780861928.795,365
1780861928.805,356
1780861928.814,353
1780861928.825,344
1780861928.835,336
1780861928.845,329
1780861928.854,324
1780861928.865,314
1780861928.875,308
1780861928.885,301
1780861928.894,295
1780861928.905,289
1780861928.915,283
1780861928.925,279
1780861928.935,274
1780861928.944,271
1780861928.955,268
1780861928.965,266
1780861928.975,264
1780861928.984,263
1780861928.995,262
1780861929.005,263
1780861929.015,265
1780861929.024,268
1780861929.035,269
1780861929.045,272
1780861929.055,276
1780861929.066,280
1780861929.076,284
1780861929.086,289
1780861929.096,295
1780861929.107,298
1780861929.116,304
1780861929.126,310
1780861929.136,316
1780861929.146,321
1780861929.156,326
1780861929.166,333
1780861929.176,338
1780861929.186,342
1780861929.196,348
1780861929.206,352
1780861929.216,356
1780861929.226,359
1780861929.237,363
1780861929.247,367
1780861929.257,369
1780861929.267,371
1780861929.278,371
1780861929.287,373
1780861929.297,374
1780861929.307,373
1780861929.318,372
1780861929.327,372
1780861929.337,371
1780861929.347,368
1780861929.358,365
1780861929.367,364
1780861929.377,361
1780861929.387,356
1780861929.398,354
1780861929.407,350
1780861929.417,346
1780861929.427,341
1780861929.438,336
1780861929.448,333
1780861929.457,330
1780861929.467,324
1780861929.478,319
1780861929.488,316
1780861929.497,313
1780861929.507,309
1780861929.518,304
1780861929.528,302
1780861929.537,301
1780861929.547,298
1780861929.558,295
1780861929.568,293
1780861929.578,293
1780861929.588,291
1780861929.599,290
1780861929.609,291
1780861929.619,292
1780861929.628,292
1780861929.639,294
1780861929.649,294
1780861929.659,298
1780861929.668,297
1780861929.679,299
1780861929.689,302
1780861929.699,305
1780861929.708,305
1780861929.719,308
1780861929.729,312
1780861929.739,315
1780861929.749,317
1780861929.759,321
1780861929.77,325
1780861929.78,329
1780861929.79,331
1780861929.799,334
1780861929.81,337
1780861929.82,341
1780861929.83,344
1780861929.84,346
1780861929.85,347
1780861929.86,351
1780861929.87,350
1780861929.879,352
1780861929.89,352
1780861929.9,351
1780861929.91,355
1780861929.919,352
1780861929.93,351
1780861929.94,350
1780861929.95,350
1780861929.96,350
1780861929.97,351
1780861929.98,347
1780861929.99,347
1780861930,345
1780861930.01,342
1780861930.02,340
1780861930.03,338
1780861930.04,336
1780861930.05,334
1780861930.06,331
1780861930.07,329
1780861930.08,326
1780861930.091,323
1780861930.101,321
1780861930.111,318
1780861930.121,317
1780861930.132,314
1780861930.141,314
1780861930.151,311
1780861930.161,310
1780861930.172,309
1780861930.181,307
1780861930.191,306
1780861930.201,306
1780861930.212,306
1780861930.221,306
1780861930.231,307
1780861930.241,307
1780861930.252,306
1780861930.262,307
1780861930.272,309
1780861930.282,310
1780861930.293,310
1780861930.303,311
1780861930.312,312
1780861930.322,316
1780861930.333,317
1780861930.343,318
1780861930.352,321
1780861930.362,320
1780861930.372,324
1780861930.383,326
1780861930.392,327
1780861930.402,329
1780861930.412,331
1780861930.423,333
1780861930.432,334
1780861930.442,335
1780861930.452,334
1780861930.463,338
1780861930.473,338
1780861930.482,342
1780861930.492,341
1780861930.503,341
1780861930.513,342
1780861930.522,341
1780861930.532,342
1780861930.543,341
1780861930.553,340
1780861930.562,340
1780861930.572,340
1780861930.583,339
1780861930.593,338
1780861930.603,336
1780861930.613,336
1780861930.624,335
1780861930.634,333
1780861930.644,334
1780861930.653,333
1780861930.664,331
1780861930.674,330
1780861930.684,329
1780861930.693,326
1780861930.704,325
1780861930.714,325
1780861930.724,322
1780861930.733,322
1780861930.744,320
1780861930.754,320
1780861930.764,319
1780861930.774,317
1780861930.785,315
1780861930.795,316
1780861930.805,315
1780861930.815,316
1780861930.825,316
1780861930.835,314
1780861930.845,314
1780861930.855,314
1780861930.865,314
1780861930.875,315
1780861930.885,315
1780861930.895,316
1780861930.905,318
1780861930.915,317
1780861930.925,318
1780861930.935,320
1780861930.944,319
1780861930.955,320
1780861930.965,321
1780861930.975,321
1780861930.985,324
1780861930.995,324
1780861931.005,327
1780861931.015,327
1780861931.025,330
1780861931.035,328
1780861931.045,330
1780861931.055,330
1780861931.065,331
1780861931.075,332
1780861931.085,332
1780861931.095,334
1780861931.105,335
1780861931.116,334
1780861931.126,335
1780861931.136,335
1780861931.146,334
1780861931.157,335
1780861931.166,336
1780861931.176,335
1780861931.186,336
1780861931.197,335
1780861931.206,333
1780861931.216,334
1780861931.226,333
1780861931.237,332
1780861931.246,331
1780861931.256,330
1780861931.266,330
1780861931.277,330
1780861931.287,329
1780861931.297,330
1780861931.307,326
1780861931.318,327
1780861931.328,325
1780861931.337,324
1780861931.347,323
1780861931.358,323
1780861931.368,322
1780861931.377,322
1780861931.387,322
1780861931.398,321
1780861931.408,320
1780861931.417,321
1780861931.427,320
1780861931.438,320
1780861931.448,320
1780861931.457,320
1780861931.467,320
1780861931.478,319
1780861931.488,320
1780861931.498,320
1780861931.507,320
1780861931.517,320
1780861931.528,320
1780861931.538,322
1780861931.547,321
1780861931.557,324
1780861931.568,322
1780861931.578,323
1780861931.587,324
1780861931.597,325
1780861931.608,324
1780861931.618,326
1780861931.628,326
1780861931.638,327
1780861931.649,328
1780861931.659,329
1780861931.669,328
1780861931.678,330
1780861931.689,330
1780861931.699,330
1780861931.709,331
1780861931.718,330
1780861931.729,330
1780861931.739,329
1780861931.749,331
1780861931.758,332
1780861931.769,332
1780861931.779,333
1780861931.789,332
1780861931.799,331
1780861931.81,332
1780861931.82,331
1780861931.83,329
1780861931.84,330
1780861931.85,329
1780861931.86,331
1780861931.87,329
1780861931.88,328
1780861931.89,333
1780861931.9,329
1780861931.91,328
1780861931.92,326
1780861931.93,326
1780861931.94,326
1780861931.95,326
1780861931.96,325
1780861931.97,324
1780861931.98,324
1780861931.99,323
1780861932,322
1780861932.011,322
1780861932.02,325
1780861932.03,323
1780861932.04,323
1780861932.051,323
1780861932.06,321
1780861932.07,321
1780861932.08,322
1780861932.091,320
1780861932.1,322
1780861932.11,322
1780861932.12,322
1780861932.131,323
1780861932.141,322
1780861932.151,324
1780861932.161,323
1780861932.172,322
1780861932.182,323
1780861932.191,325
1780861932.201,325
1780861932.211,326
1780861932.222,325
1780861932.231,326
1780861932.241,326
1780861932.251,326
1780861932.262,326
1780861932.271,329
1780861932.281,328
1780861932.291,328
1780861932.302,329
1780861932.312,329
1780861932.322,329
1780861932.332,329
1780861932.343,329
1780861932.353,330
1780861932.362,329
1780861932.372,330
1780861932.383,329
1780861932.393,329
1780861932.402,329
1780861932.412,329
1780861932.423,330
1780861932.433,331
1780861932.442,330
1780861932.452,329
1780861932.463,329
1780861932.473,329
1780861932.482,328
1780861932.492,327
1780861932.503,328
1780861932.513,326
