tempo,Vo
1782170361.71,0
1782170361.711,0
1782170361.711,0
1782170361.711,0
1782170361.711,0
1782170361.712,0
1782170361.712,0
1782170361.713,0
1782170361.713,0
1782170361.713,0
1782170361.713,0
1782170361.714,0
1782170361.715,0
1782170361.724,0
1782170361.733,0
1782170361.743,0
1782170361.754,0
1782170361.763,0
1782170361.774,0
1782170361.784,0
1782170361.794,0
1782170361.804,0
1782170361.814,0
1782170361.825,0
1782170361.834,0
1782170361.844,0
1782170361.854,0
1782170361.903,0
1782170361.904,0
1782170361.905,0
1782170361.905,0
1782170361.906,0
1782170361.914,0
1782170361.924,0
1782170361.934,0
1782170361.944,0
1782170361.97,0
1782170361.974,0
1782170361.974,0
1782170361.984,0
1782170361.995,0
1782170362.004,0
1782170362.014,0
1782170362.025,0
1782170362.035,0
1782170362.044,0
1782170362.054,0
1782170362.064,0
1782170362.075,0
1782170362.085,0
1782170362.095,0
1782170362.106,0
1782170362.119,0
1782170362.126,0
1782170362.135,0
1782170362.145,0
1782170362.156,0
1782170362.166,0
1782170362.176,0
1782170362.186,0
1782170362.196,0
1782170362.206,0
1782170362.215,0
1782170362.23,0
1782170362.24,0
1782170362.247,0
1782170362.257,0
1782170362.266,0
1782170362.277,0
1782170362.287,0
1782170362.298,0
1782170362.309,0
1782170362.317,0
1782170362.329,0
1782170362.34,0
1782170362.347,0
1782170362.357,0
1782170362.367,0
1782170362.377,0
1782170362.387,0
1782170362.397,0
1782170362.407,0
1782170362.417,0
1782170362.429,0
1782170362.437,0
1782170362.447,0
1782170362.465,0
1782170362.468,0
1782170362.477,0
1782170362.487,0
1782170362.497,0
1782170362.507,0
1782170362.517,0
1782170362.527,0
1782170362.537,0
1782170362.547,0
1782170362.557,0
1782170362.567,0
1782170362.577,0
1782170362.587,0
1782170362.598,0
1782170362.608,0
1782170362.618,0
1782170362.628,0
1782170362.639,0
1782170362.648,0
1782170362.658,0
1782170362.668,0
1782170362.679,0
1782170362.688,0
1782170362.698,0
1782170362.708,0
1782170362.719,0
1782170362.728,0
1782170362.738,0
1782170362.748,0
1782170362.759,0
1782170362.769,0
1782170362.779,0
1782170362.789,0
1782170362.799,0
1782170362.81,0
1782170362.819,0
1782170362.829,0
1782170362.84,0
1782170362.85,0
1782170362.86,0
1782170362.869,0
1782170362.88,0
1782170362.891,0
1782170362.899,0
1782170362.909,0
1782170362.919,0
1782170362.93,0
1782170362.939,0
1782170362.949,0
1782170362.959,0
1782170362.97,0
1782170362.98,0
1782170362.989,0
1782170363,0
1782170363.01,0
1782170363.02,0
1782170363.029,0
1782170363.039,0
1782170363.05,0
1782170363.06,0
1782170363.071,0
1782170363.079,0
1782170363.09,0
1782170363.1,0
1782170363.11,0
1782170363.12,0
1782170363.131,0
1782170363.146,0
1782170363.151,0
1782170363.194,0
1782170363.245,0
1782170363.245,0
1782170363.245,0
1782170363.246,0
1782170363.247,0
1782170363.247,0
1782170363.248,0
1782170363.249,0
1782170363.27,0
1782170363.278,0
1782170363.282,0
1782170363.286,0
1782170363.292,0
1782170363.302,0
1782170363.312,0
1782170363.324,0
1782170363.332,0
1782170363.342,0
1782170363.352,0
1782170363.362,0
1782170363.372,0
1782170363.382,0
1782170363.392,0
1782170363.402,0
1782170363.411,0
1782170363.422,0
1782170363.44,0
1782170363.442,0
1782170363.451,0
1782170363.462,0
1782170363.472,0
1782170363.482,0
1782170363.493,0
1782170363.502,0
1782170363.512,0
1782170363.523,0
1782170363.532,0
1782170363.542,0
1782170363.561,0
1782170363.563,0
1782170363.572,0
1782170363.582,0
1782170363.592,0
1782170363.602,0
1782170363.612,0
1782170363.623,0
1782170363.633,0
1782170363.643,0
1782170363.653,0
1782170363.664,0
1782170363.673,0
1782170363.683,0
1782170363.699,0
1782170363.705,0
1782170363.713,0
1782170363.723,0
1782170363.733,0
