tempo,Vo
1782131778.481,0
1782131778.49,0
1782131778.5,0
1782131778.511,0
1782131778.521,0
1782131778.535,0
1782131778.541,0
1782131778.552,0
1782131778.562,0
1782131778.572,0
1782131778.581,0
1782131778.592,0
1782131778.606,0
1782131778.613,0
1782131778.621,0
1782131778.632,0
1782131778.642,0
1782131778.652,0
1782131778.661,0
1782131778.672,0
1782131778.682,0
1782131778.692,0
1782131778.701,0
1782131778.711,0
1782131778.734,0
1782131778.735,0
1782131778.742,0
1782131778.751,0
1782131778.762,0
1782131778.772,0
1782131778.782,0
1782131778.791,0
1782131778.801,0
1782131778.812,0
1782131778.822,0
1782131778.832,0
1782131778.842,0
1782131778.852,0
1782131778.862,0
1782131778.873,0
1782131778.883,0
1782131778.893,0
1782131778.903,0
1782131778.914,0
1782131778.923,0
1782131778.933,0
1782131778.943,0
1782131778.953,0
1782131778.963,0
1782131778.973,0
1782131778.983,0
1782131778.993,0
1782131779.003,0
1782131779.013,0
1782131779.023,0
1782131779.033,0
1782131779.044,0
1782131779.054,0
1782131779.064,0
1782131779.074,0
1782131779.084,0
1782131779.094,0
1782131779.104,0
1782131779.115,0
1782131779.125,0
1782131779.134,0
1782131779.144,0
1782131779.154,0
1782131779.165,0
1782131779.174,0
1782131779.184,0
1782131779.195,0
1782131779.205,0
1782131779.214,0
1782131779.224,0
1782131779.234,0
1782131779.245,0
1782131779.255,0
1782131779.264,0
1782131779.274,0
1782131779.285,0
1782131779.295,0
1782131779.304,0
1782131779.315,0
1782131779.325,0
1782131779.335,0
1782131779.344,0
1782131779.354,0
1782131779.364,0
1782131779.375,0
1782131779.385,0
1782131779.395,0
1782131779.405,0
1782131779.416,0
1782131779.426,0
1782131779.435,0
1782131779.446,0
1782131779.456,0
1782131779.466,0
1782131779.475,0
1782131779.485,0
1782131779.496,0
1782131779.506,0
1782131779.515,0
1782131779.525,0
1782131779.536,0
1782131779.546,0
1782131779.556,0
1782131779.566,0
1782131779.577,0
1782131779.587,0
1782131779.597,0
1782131779.606,0
1782131779.617,0
1782131779.627,0
1782131779.637,0
1782131779.647,0
1782131779.657,0
1782131779.667,0
1782131779.677,0
1782131779.686,0
1782131779.697,0
1782131779.707,0
1782131779.717,0
1782131779.726,0
1782131779.737,0
1782131779.747,0
1782131779.758,0
1782131779.767,0
1782131779.777,0
1782131779.787,0
1782131779.797,0
1782131779.807,0
1782131779.817,0
1782131779.827,0
1782131779.837,0
1782131779.847,0
1782131779.857,0
1782131779.867,0
1782131779.877,0
1782131779.887,0
1782131779.898,0
1782131779.908,0
1782131779.918,0
1782131779.929,0
1782131779.939,0
1782131779.948,0
1782131779.958,0
1782131779.968,0
1782131779.979,0
1782131779.988,0
1782131779.998,0
1782131780.008,0
1782131780.018,0
1782131780.028,0
1782131780.038,0
1782131780.048,0
1782131780.058,0
1782131780.069,0
1782131780.079,0
1782131780.089,0
1782131780.1,0
1782131780.111,0
1782131780.119,0
1782131780.129,0
1782131780.139,0
1782131780.15,0
1782131780.159,0
1782131780.169,0
1782131780.18,0
1782131780.19,0
1782131780.199,0
1782131780.21,0
1782131780.219,0
1782131780.23,0
1782131780.239,0
1782131780.249,0
1782131780.26,0
1782131780.27,0
1782131780.28,0
1782131780.289,0
1782131780.299,0
1782131780.31,0
1782131780.32,0
1782131780.329,0
1782131780.34,0
1782131780.35,0
1782131780.36,0
1782131780.369,0
1782131780.379,0
1782131780.39,0
1782131780.4,0
1782131780.411,0
1782131780.421,0
1782131780.432,0
1782131780.441,0
1782131780.451,0
1782131780.46,0
1782131780.481,0
1782131780.481,0
1782131780.491,0
1782131780.5,0
1782131780.51,0
1782131780.521,0
1782131780.531,0
1782131780.54,0
1782131780.551,0
1782131780.561,0
1782131780.571,0
1782131780.581,0
1782131780.592,0
1782131780.602,0
1782131780.612,0
1782131780.623,0
1782131780.632,0
1782131780.642,0
1782131780.652,0
1782131780.662,0
1782131780.673,0
1782131780.682,0
1782131780.692,0
1782131780.702,0
1782131780.712,0
1782131780.722,0
1782131780.732,0
1782131780.742,0
1782131780.751,0
1782131780.762,0
1782131780.772,0
1782131780.782,0
1782131780.793,0
1782131780.802,0
1782131780.812,0
1782131780.822,0
1782131780.832,0
1782131780.842,0
1782131780.852,0
1782131780.862,0
1782131780.872,0
1782131780.882,0
1782131780.892,0
1782131780.902,0
1782131780.913,0
1782131780.923,0
1782131780.933,0
1782131780.944,0
1782131780.954,0
1782131780.964,0
1782131780.973,0
1782131780.983,0
1782131780.994,0
1782131781.004,0
1782131781.013,0
1782131781.023,0
1782131781.033,0
1782131781.044,0
1782131781.053,0
1782131781.063,0
1782131781.074,0
1782131781.084,0
1782131781.094,0
1782131781.104,0
1782131781.114,0
1782131781.125,0
1782131781.135,0
1782131781.145,0
1782131781.155,0
1782131781.165,0
1782131781.175,0
1782131781.184,0
1782131781.195,0
1782131781.205,0
1782131781.215,0
1782131781.224,0
1782131781.235,0
1782131781.245,0
1782131781.255,0
1782131781.264,0
1782131781.274,0
1782131781.285,0
1782131781.295,0
1782131781.305,0
1782131781.315,0
1782131781.325,0
1782131781.335,0
1782131781.345,0
1782131781.354,0
1782131781.366,0
1782131781.376,0
1782131781.385,0
1782131781.394,0
1782131781.405,3
1782131781.415,17
1782131781.425,37
1782131781.447,63
1782131781.448,93
1782131781.456,129
1782131781.466,170
1782131781.476,209
1782131781.486,247
1782131781.496,288
1782131781.506,330
1782131781.516,370
1782131781.526,401
1782131781.536,434
1782131781.546,462
1782131781.557,484
1782131781.566,499
1782131781.576,511
1782131781.586,517
1782131781.596,515
1782131781.607,507
1782131781.617,494
1782131781.627,476
1782131781.637,455
1782131781.648,428
1782131781.657,400
1782131781.667,370
1782131781.677,336
1782131781.688,301
1782131781.697,269
1782131781.707,235
1782131781.717,204
1782131781.728,173
1782131781.737,151
1782131781.775,125
1782131781.78,109
1782131781.78,96
1782131781.78,87
1782131781.789,85
1782131781.797,87
1782131781.808,92
1782131781.818,105
1782131781.827,119
1782131781.837,137
1782131781.848,160
1782131781.858,184
1782131781.867,210
1782131781.877,237
1782131781.888,268
1782131781.898,296
1782131781.907,321
1782131781.917,346
1782131781.928,370
1782131781.938,391
1782131781.948,409
1782131781.958,423
1782131781.969,434
1782131781.979,438
1782131781.989,442
1782131781.998,438
1782131782.009,432
1782131782.019,420
1782131782.029,406
1782131782.038,391
1782131782.049,373
1782131782.059,350
1782131782.069,330
1782131782.078,308
1782131782.089,284
1782131782.099,260
1782131782.109,237
1782131782.119,217
1782131782.13,199
1782131782.14,180
1782131782.15,169
1782131782.16,158
1782131782.169,151
1782131782.179,146
1782131782.19,146
1782131782.2,149
1782131782.209,155
1782131782.219,165
1782131782.23,177
1782131782.24,190
1782131782.249,205
1782131782.26,223
1782131782.27,243
1782131782.28,262
1782131782.29,281
1782131782.3,301
1782131782.31,320
1782131782.32,335
1782131782.33,350
1782131782.34,363
1782131782.35,373
1782131782.36,382
1782131782.37,388
1782131782.38,391
1782131782.39,391
1782131782.4,386
1782131782.411,381
1782131782.419,372
1782131782.43,361
1782131782.44,348
1782131782.45,334
1782131782.461,320
1782131782.471,304
1782131782.481,288
1782131782.492,271
1782131782.502,257
1782131782.511,243
1782131782.521,231
1782131782.532,216
1782131782.542,207
1782131782.551,198
1782131782.561,194
1782131782.571,190
1782131782.582,189
1782131782.591,188
1782131782.601,191
1782131782.612,198
1782131782.622,206
1782131782.632,214
1782131782.642,224
1782131782.652,238
1782131782.663,250
1782131782.673,261
1782131782.682,273
1782131782.692,289
1782131782.702,302
1782131782.713,313
1782131782.722,323
1782131782.733,332
1782131782.742,342
1782131782.753,346
1782131782.762,350
1782131782.772,354
1782131782.783,353
1782131782.793,353
1782131782.802,348
1782131782.813,347
1782131782.823,338
1782131782.833,332
1782131782.843,322
1782131782.852,312
1782131782.863,303
1782131782.873,291
1782131782.883,279
1782131782.892,271
1782131782.902,260
1782131782.913,251
1782131782.923,242
1782131782.932,233
1782131782.942,227
1782131782.952,222
1782131782.963,220
1782131782.973,217
1782131782.983,217
1782131782.994,219
1782131783.004,222
1782131783.014,227
1782131783.024,232
1782131783.033,238
1782131783.044,247
1782131783.054,255
1782131783.064,261
1782131783.073,271
1782131783.084,281
1782131783.094,291
1782131783.103,297
1782131783.114,304
1782131783.124,314
1782131783.134,319
1782131783.145,325
1782131783.155,327
1782131783.165,330
1782131783.187,330
1782131783.188,330
1782131783.195,329
1782131783.205,326
1782131783.215,321
1782131783.225,316
1782131783.235,310
1782131783.245,304
1782131783.255,297
1782131783.265,290
1782131783.274,283
1782131783.285,277
1782131783.295,268
1782131783.305,263
1782131783.314,256
1782131783.325,250
1782131783.335,246
1782131783.345,242
1782131783.356,241
1782131783.365,237
1782131783.375,238
1782131783.385,237
1782131783.396,240
1782131783.405,240
1782131783.416,246
1782131783.425,250
1782131783.436,256
1782131783.445,259
1782131783.455,265
1782131783.465,270
1782131783.476,277
1782131783.486,284
1782131783.496,290
1782131783.506,295
1782131783.517,301
1782131783.527,304
1782131783.536,308
1782131783.546,310
1782131783.557,312
1782131783.567,313
1782131783.576,313
1782131783.586,313
1782131783.597,313
1782131783.607,310
1782131783.616,305
1782131783.626,303
1782131783.637,299
1782131783.647,294
1782131783.657,288
1782131783.667,283
1782131783.677,278
1782131783.688,274
1782131783.698,268
1782131783.707,266
1782131783.717,260
1782131783.728,258
1782131783.738,255
1782131783.747,253
1782131783.758,251
1782131783.768,250
1782131783.778,252
1782131783.787,252
1782131783.798,254
1782131783.808,255
1782131783.818,257
1782131783.827,261
1782131783.837,263
1782131783.848,268
1782131783.858,272
1782131783.868,277
1782131783.877,280
1782131783.888,284
1782131783.898,286
1782131783.908,292
1782131783.917,296
1782131783.928,297
1782131783.938,300
1782131783.948,303
1782131783.958,301
1782131783.967,303
1782131783.978,302
1782131783.988,301
1782131783.999,302
1782131784.009,299
1782131784.019,296
1782131784.029,294
1782131784.039,290
1782131784.049,287
1782131784.059,284
1782131784.069,280
1782131784.08,278
1782131784.088,274
1782131784.099,271
1782131784.109,267
1782131784.119,266
1782131784.129,263
1782131784.139,262
1782131784.149,260
1782131784.159,260
1782131784.169,259
1782131784.18,261
1782131784.19,260
1782131784.2,261
1782131784.211,265
1782131784.22,267
1782131784.23,267
1782131784.24,271
1782131784.25,275
1782131784.26,275
1782131784.27,278
1782131784.28,281
1782131784.291,284
1782131784.3,286
1782131784.31,289
1782131784.32,292
1782131784.331,293
1782131784.34,293
1782131784.35,295
1782131784.36,296
1782131784.37,295
1782131784.381,295
1782131784.39,294
1782131784.4,291
1782131784.411,291
1782131784.421,289
1782131784.43,288
1782131784.44,285
1782131784.45,284
1782131784.461,281
1782131784.47,278
1782131784.48,277
1782131784.49,273
1782131784.501,273
1782131784.511,271
1782131784.521,269
1782131784.532,267
1782131784.542,267
1782131784.552,266
1782131784.561,267
1782131784.571,265
1782131784.582,268
1782131784.592,266
1782131784.601,268
1782131784.612,269
1782131784.622,270
1782131784.632,272
1782131784.641,275
1782131784.651,276
1782131784.662,279
1782131784.672,280
1782131784.683,282
1782131784.692,284
1782131784.702,285
1782131784.713,288
1782131784.723,289
1782131784.732,289
1782131784.743,289
1782131784.753,290
1782131784.763,292
1782131784.772,288
1782131784.783,289
1782131784.793,289
1782131784.803,289
1782131784.812,288
1782131784.823,287
1782131784.833,285
1782131784.843,283
1782131784.852,282
1782131784.863,278
1782131784.873,278
1782131784.883,276
1782131784.893,275
1782131784.903,272
1782131784.913,272
1782131784.923,271
1782131784.933,270
1782131784.943,271
1782131784.953,270
1782131784.963,270
1782131784.973,271
1782131784.983,270
1782131784.993,269
1782131785.003,272
1782131785.013,274
1782131785.023,275
1782131785.034,275
1782131785.044,278
1782131785.054,278
1782131785.065,279
1782131785.074,281
1782131785.084,280
1782131785.094,283
1782131785.104,283
1782131785.114,285
1782131785.124,286
1782131785.134,284
1782131785.145,285
1782131785.154,287
1782131785.164,288
1782131785.174,287
1782131785.184,286
1782131785.195,285
1782131785.205,285
1782131785.215,283
1782131785.225,283
1782131785.236,282
1782131785.245,281
1782131785.255,280
1782131785.266,280
1782131785.276,279
1782131785.285,277
1782131785.295,276
1782131785.305,275
1782131785.316,274
1782131785.325,273
1782131785.335,274
1782131785.345,271
1782131785.356,273
1782131785.365,273
1782131785.375,273
1782131785.385,274
1782131785.396,274
1782131785.406,273
1782131785.415,275
1782131785.425,276
1782131785.436,275
1782131785.446,278
1782131785.455,279
1782131785.465,279
1782131785.476,282
1782131785.486,283
1782131785.495,283
1782131785.505,284
1782131785.516,284
1782131785.526,285
1782131785.536,285
1782131785.546,285
1782131785.557,284
1782131785.567,285
1782131785.577,283
1782131785.586,283
1782131785.597,284
1782131785.607,282
1782131785.617,282
1782131785.626,280
1782131785.637,279
1782131785.647,279
1782131785.657,279
1782131785.666,279
1782131785.676,277
1782131785.687,277
1782131785.697,276
1782131785.707,277
1782131785.717,274
1782131785.728,276
1782131785.738,275
1782131785.748,276
1782131785.757,276
1782131785.768,276
1782131785.778,277
1782131785.788,277
1782131785.797,277
1782131785.808,278
1782131785.818,278
1782131785.828,279
1782131785.837,279
1782131785.848,280
1782131785.858,280
1782131785.868,282
1782131785.877,281
1782131785.888,281
1782131785.898,281
1782131785.908,281
1782131785.919,281
1782131785.928,282
1782131785.938,282
1782131785.948,282
1782131785.959,281
1782131785.968,282
1782131785.978,282
1782131785.988,282
1782131785.998,281
1782131786.007,280
1782131786.018,281
1782131786.028,280
1782131786.038,279
1782131786.049,280
1782131786.059,279
1782131786.069,280
1782131786.08,277
1782131786.09,277
1782131786.099,279
1782131786.109,279
1782131786.119,277
1782131786.13,278
1782131786.139,278
1782131786.149,277
1782131786.159,277
1782131786.17,276
1782131786.179,277
1782131786.189,279
1782131786.199,276
1782131786.21,278
1782131786.22,277
1782131786.23,278
1782131786.241,278
1782131786.251,279
1782131786.261,280
1782131786.27,281
1782131786.281,281
1782131786.291,283
1782131786.301,281
1782131786.31,280
1782131786.32,282
1782131786.331,281
1782131786.341,282
1782131786.35,284
1782131786.36,282
1782131786.371,282
1782131786.381,279
1782131786.39,281
1782131786.4,279
1782131786.411,280
1782131786.421,280
1782131786.431,278
1782131786.44,278
1782131786.45,278
1782131786.461,277
1782131786.471,278
1782131786.48,279
1782131786.491,278
1782131786.501,279
1782131786.511,278
1782131786.52,277
1782131786.531,277
1782131786.541,279
1782131786.551,277
1782131786.561,278
1782131786.572,277
1782131786.582,278
1782131786.592,279
1782131786.602,279
1782131786.611,281
1782131786.622,279
1782131786.644,282
1782131786.644,280
1782131786.651,278
1782131786.662,281
1782131786.672,281
1782131786.682,280
1782131786.692,282
1782131786.702,279
1782131786.712,281
1782131786.722,281
1782131786.732,279
1782131786.743,280
1782131786.753,281
1782131786.763,281
1782131786.774,280
1782131786.782,280
1782131786.793,281
1782131786.803,280
1782131786.813,279
1782131786.823,278
1782131786.833,279
1782131786.843,278
1782131786.854,276
1782131786.863,278
1782131786.873,279
1782131786.883,277
1782131786.894,277
1782131786.903,279
1782131786.913,277
1782131786.923,278
1782131786.933,278
1782131786.944,279
1782131786.953,279
1782131786.963,280
1782131786.974,280
1782131786.984,279
1782131786.993,279
1782131787.004,279
1782131787.013,280
1782131787.024,280
1782131787.033,280
1782131787.044,280
1782131787.058,279
1782131787.078,280
1782131787.083,279
1782131787.089,280
1782131787.098,279
1782131787.105,281
1782131787.115,280
1782131787.124,281
1782131787.134,279
1782131787.145,279
1782131787.155,281
1782131787.164,280
1782131787.174,279
1782131787.184,278
1782131787.195,279
1782131787.204,279
1782131787.214,280
1782131787.225,280
1782131787.235,279
1782131787.245,278
1782131787.256,280
1782131787.265,278
1782131787.276,278
1782131787.286,277
1782131787.295,279
1782131787.306,275
1782131787.316,271
1782131787.326,261
1782131787.335,252
1782131787.345,236
1782131787.356,220
1782131787.366,202
1782131787.375,183
1782131787.386,161
1782131787.396,138
1782131787.406,113
1782131787.415,89
1782131787.426,64
1782131787.436,38
1782131787.446,11
1782131787.456,0
1782131787.465,0
1782131787.476,0
1782131787.486,0
1782131787.496,0
1782131787.505,0
1782131787.516,0
1782131787.526,0
1782131787.536,0
1782131787.546,0
1782131787.556,0
1782131787.566,0
1782131787.576,0
1782131787.586,0
1782131787.597,0
1782131787.607,0
1782131787.617,0
1782131787.627,0
1782131787.637,0
1782131787.647,0
1782131787.657,0
1782131787.667,0
1782131787.676,0
1782131787.687,0
1782131787.697,0
1782131787.707,0
1782131787.716,0
1782131787.727,0
1782131787.737,0
1782131787.747,0
1782131787.758,4
1782131787.768,23
1782131787.778,41
1782131787.788,59
1782131787.799,75
1782131787.808,86
1782131787.818,100
1782131787.829,112
1782131787.839,123
1782131787.848,131
1782131787.858,137
1782131787.868,145
1782131787.878,147
1782131787.888,151
1782131787.898,151
1782131787.909,149
1782131787.919,148
1782131787.928,143
1782131787.938,137
1782131787.948,128
1782131787.959,120
1782131787.969,110
1782131787.978,100
1782131787.988,88
1782131787.998,76
1782131788.009,62
1782131788.018,51
1782131788.028,38
1782131788.039,24
1782131788.049,9
1782131788.058,0
1782131788.068,0
1782131788.078,0
1782131788.089,0
1782131788.099,0
1782131788.109,0
1782131788.12,0
1782131788.13,0
1782131788.14,0
1782131788.149,0
1782131788.16,0
1782131788.17,0
1782131788.18,0
1782131788.189,0
1782131788.199,0
1782131788.21,0
1782131788.22,0
1782131788.229,0
1782131788.239,0
1782131788.249,0
1782131788.26,0
1782131788.27,0
1782131788.28,0
1782131788.29,0
1782131788.301,0
1782131788.311,0
1782131788.32,0
1782131788.33,0
1782131788.341,0
1782131788.351,0
1782131788.36,0
1782131788.38,8
1782131788.381,18
1782131788.391,27
1782131788.4,35
1782131788.41,44
1782131788.421,51
1782131788.431,57
1782131788.44,63
1782131788.45,70
1782131788.461,73
1782131788.471,75
1782131788.481,78
1782131788.491,79
1782131788.501,80
1782131788.511,80
1782131788.521,78
1782131788.53,77
1782131788.541,72
1782131788.551,70
1782131788.562,65
1782131788.571,62
1782131788.581,54
1782131788.591,49
1782131788.601,43
1782131788.611,35
1782131788.622,27
1782131788.632,21
1782131788.642,12
1782131788.652,4
1782131788.662,0
1782131788.672,0
1782131788.682,0
1782131788.693,0
1782131788.702,0
