tempo,Vo
1782573968.555,8
1782573968.565,14
1782573968.575,25
1782573968.585,40
1782573968.596,59
1782573968.606,83
1782573968.615,106
1782573968.625,134
1782573968.636,167
1782573968.646,199
1782573968.655,232
1782573968.665,268
1782573968.676,307
1782573968.686,347
1782573968.695,381
1782573968.705,419
1782573968.716,459
1782573968.726,496
1782573968.736,532
1782573968.746,565
1782573968.757,594
1782573968.767,617
1782573968.777,633
1782573968.786,641
1782573968.797,644
1782573968.807,638
1782573968.817,626
1782573968.826,609
1782573968.837,588
1782573968.847,565
1782573968.858,545
1782573968.866,525
1782573968.877,508
1782573968.887,495
1782573968.897,486
1782573968.906,479
1782573968.917,475
1782573968.927,469
1782573968.937,464
1782573968.947,462
1782573968.957,459
1782573968.967,460
1782573968.977,456
1782573968.987,457
1782573968.997,456
1782573969.007,455
1782573969.017,452
1782573969.027,450
1782573969.037,449
1782573969.047,446
1782573969.057,448
1782573969.067,446
1782573969.078,447
1782573969.088,451
1782573969.098,450
1782573969.108,452
1782573969.119,452
1782573969.128,452
1782573969.138,453
1782573969.148,452
1782573969.159,452
1782573969.168,455
1782573969.178,455
1782573969.188,454
1782573969.199,454
1782573969.208,453
1782573969.218,454
1782573969.228,455
1782573969.239,454
1782573969.249,456
1782573969.259,455
1782573969.269,454
1782573969.28,454
1782573969.29,455
1782573969.299,457
1782573969.309,454
1782573969.32,455
1782573969.33,457
1782573969.339,454
1782573969.349,455
1782573969.359,454
1782573969.37,455
1782573969.379,456
1782573969.389,454
1782573969.399,455
1782573969.41,456
1782573969.419,457
1782573969.429,456
1782573969.439,453
1782573969.45,456
1782573969.46,456
1782573969.469,455
1782573969.48,453
1782573969.49,453
1782573969.5,455
1782573969.509,455
1782573969.519,456
1782573969.53,452
1782573969.54,453
1782573969.549,453
1782573969.559,452
1782573969.57,453
1782573969.58,453
1782573969.59,454
1782573969.6,455
1782573969.611,454
1782573969.621,454
1782573969.631,455
1782573969.64,453
1782573969.651,454
1782573969.661,455
1782573969.671,455
1782573969.681,455
1782573969.691,456
1782573969.701,456
1782573969.711,454
1782573969.72,454
1782573969.73,454
1782573969.741,455
1782573969.751,453
1782573969.761,456
1782573969.772,457
1782573969.782,458
1782573969.792,458
1782573969.802,458
1782573969.812,459
1782573969.822,456
1782573969.832,456
