tempo,Vo
1782591757.064,0
1782591757.071,3
1782591757.084,17
1782591757.092,36
1782591757.104,57
1782591757.123,82
1782591757.134,107
1782591757.134,134
1782591757.146,158
1782591757.155,187
1782591757.199,214
1782591757.201,237
1782591757.201,260
1782591757.202,285
1782591757.227,307
1782591757.227,328
1782591757.227,343
1782591757.265,360
1782591757.268,372
1782591757.27,382
1782591757.273,391
1782591757.295,396
1782591757.296,400
1782591757.296,402
1782591757.322,402
1782591757.324,398
1782591757.33,393
1782591757.358,387
1782591757.359,380
1782591757.36,370
1782591757.364,361
1782591757.387,349
1782591757.392,339
1782591757.416,330
1782591757.417,318
1782591757.417,307
1782591757.43,297
1782591757.439,288
1782591757.45,279
1782591757.473,271
1782591757.474,264
1782591757.478,260
1782591757.503,257
1782591757.506,254
1782591757.531,254
1782591757.531,254
1782591757.532,258
1782591757.536,261
1782591757.567,265
1782591757.567,273
1782591757.567,278
1782591757.578,285
1782591757.59,295
1782591757.598,304
1782591757.605,314
1782591757.619,324
1782591757.627,336
1782591757.636,345
1782591757.651,356
1782591757.666,366
1782591757.671,375
1782591757.675,386
1782591757.697,392
1782591757.697,402
1782591757.705,407
1782591757.715,417
1782591757.726,421
1782591757.743,426
1782591757.748,428
1782591757.765,431
1782591757.776,433
1782591757.813,434
1782591757.821,434
1782591757.821,434
1782591757.824,433
1782591757.825,432
1782591757.826,428
1782591757.835,426
1782591757.877,422
1782591757.877,418
1782591757.88,415
1782591757.882,412
1782591757.889,407
1782591757.896,403
1782591757.91,401
1782591757.921,398
1782591757.925,395
1782591757.937,392
1782591757.971,391
1782591757.972,390
1782591757.973,388
1782591757.994,388
1782591757.994,388
1782591757.996,387
1782591758.03,389
1782591758.03,389
1782591758.031,391
1782591758.04,395
1782591758.068,398
1782591758.071,401
1782591758.072,403
1782591758.094,407
1782591758.094,409
1782591758.107,414
1782591758.114,420
1782591758.121,423
1782591758.135,427
1782591758.14,433
1782591758.167,436
1782591758.171,440
1782591758.179,443
1782591758.179,445
1782591758.193,450
1782591758.199,452
1782591758.208,455
1782591758.247,457
1782591758.253,459
1782591758.258,459
1782591758.288,460
1782591758.289,459
1782591758.291,461
1782591758.293,461
1782591758.306,462
1782591758.308,461
1782591758.314,460
1782591758.331,460
1782591758.333,459
1782591758.351,456
1782591758.394,455
1782591758.403,453
1782591758.405,452
1782591758.409,452
1782591758.411,450
1782591758.419,449
1782591758.425,448
1782591758.434,449
1782591758.435,447
1782591758.446,448
1782591758.456,448
1782591758.463,446
1782591758.47,447
1782591758.485,448
1782591758.49,449
1782591758.51,449
1782591758.517,450
1782591758.521,449
1782591758.536,452
1782591758.54,453
