tempo,Vo
1782594371.024,0
1782594371.033,0
1782594371.043,0
1782594371.054,0
1782594371.065,0
1782594371.074,0
1782594371.084,0
1782594371.095,0
1782594371.105,0
1782594371.116,0
1782594371.124,0
1782594371.135,0
1782594371.145,0
1782594371.155,0
1782594371.164,0
1782594371.175,0
1782594371.185,0
1782594371.195,0
1782594371.204,0
1782594371.215,0
1782594371.225,0
1782594371.235,0
1782594371.245,0
1782594371.256,0
1782594371.266,0
1782594371.276,0
1782594371.286,0
1782594371.296,0
1782594371.306,0
1782594371.316,0
1782594371.326,0
1782594371.336,0
1782594371.346,0
1782594371.356,0
1782594371.366,0
1782594371.376,0
1782594371.386,0
1782594371.396,0
1782594371.406,0
1782594371.416,0
1782594371.426,0
1782594371.436,0
1782594371.446,0
1782594371.457,0
1782594371.466,0
1782594371.476,0
1782594371.486,0
1782594371.497,0
1782594371.506,0
1782594371.516,0
1782594371.526,0
1782594371.537,0
1782594371.546,0
1782594371.556,0
1782594371.566,0
1782594371.577,0
1782594371.587,0
1782594371.597,3
1782594371.607,12
1782594371.618,25
1782594371.628,44
1782594371.637,65
1782594371.647,88
1782594371.657,117
1782594371.668,147
1782594371.677,175
1782594371.688,211
1782594371.698,247
1782594371.708,284
1782594371.717,318
1782594371.727,356
1782594371.738,395
1782594371.748,432
1782594371.758,468
1782594371.768,504
1782594371.778,538
1782594371.789,570
1782594371.799,599
1782594371.808,625
1782594371.819,652
1782594371.829,673
1782594371.839,693
1782594371.848,707
1782594371.858,720
1782594371.869,715
1782594371.879,720
1782594371.888,717
1782594371.899,722
1782594371.909,717
1782594371.919,716
1782594371.928,710
1782594371.938,697
1782594371.949,684
1782594371.959,666
1782594371.969,648
1782594371.979,628
1782594371.989,604
1782594371.999,578
1782594372.009,554
1782594372.018,528
1782594372.029,500
1782594372.039,471
1782594372.049,443
1782594372.058,416
1782594372.069,389
1782594372.079,360
1782594372.089,332
1782594372.1,307
1782594372.11,284
1782594372.12,262
1782594372.13,242
1782594372.14,224
1782594372.15,214
1782594372.16,199
1782594372.17,189
1782594372.18,183
1782594372.19,179
1782594372.2,177
1782594372.21,178
1782594372.221,182
1782594372.23,187
1782594372.24,196
1782594372.25,207
1782594372.26,220
1782594372.271,234
1782594372.281,252
1782594372.291,269
1782594372.301,290
1782594372.312,309
1782594372.321,328
1782594372.331,349
1782594372.341,371
1782594372.352,392
1782594372.361,411
1782594372.371,432
1782594372.393,453
1782594372.393,472
1782594372.401,487
1782594372.411,506
1782594372.421,521
1782594372.432,536
1782594372.441,547
1782594372.451,560
1782594372.461,567
1782594372.472,575
1782594372.482,581
1782594372.491,585
1782594372.501,588
1782594372.512,587
1782594372.522,586
1782594372.531,585
1782594372.541,579
1782594372.552,574
1782594372.562,567
1782594372.588,559
1782594372.603,550
1782594372.604,538
1782594372.607,525
1782594372.612,515
1782594372.622,499
1782594372.633,485
1782594372.647,470
1782594372.653,456
1782594372.662,440
1782594372.673,425
1782594372.683,410
1782594372.693,395
