tempo,Vo
1782171346.213,0
1782171346.223,0
1782171346.233,0
1782171346.244,0
1782171346.254,0
1782171346.264,0
1782171346.275,0
1782171346.284,0
1782171346.294,0
1782171346.304,0
1782171346.313,0
1782171346.324,0
1782171346.334,0
1782171346.344,0
1782171346.353,0
1782171346.364,0
1782171346.374,0
1782171346.384,0
1782171346.393,0
1782171346.404,0
1782171346.414,0
1782171346.424,0
1782171346.435,0
1782171346.443,0
1782171346.454,0
1782171346.465,0
1782171346.474,0
1782171346.484,0
1782171346.494,0
1782171346.504,0
1782171346.514,0
1782171346.523,0
1782171346.534,0
1782171346.544,0
1782171346.554,0
1782171346.565,0
1782171346.575,0
1782171346.585,0
1782171346.595,0
1782171346.606,0
1782171346.615,0
1782171346.625,0
1782171346.635,0
1782171346.645,0
1782171346.655,0
1782171346.665,0
1782171346.675,0
1782171346.685,0
1782171346.695,0
1782171346.705,0
1782171346.715,0
1782171346.725,0
1782171346.736,0
1782171346.746,0
1782171346.756,0
1782171346.767,0
1782171346.777,0
1782171346.786,0
1782171346.796,0
1782171346.807,0
1782171346.817,0
1782171346.826,0
1782171346.836,0
1782171346.846,0
1782171346.857,0
1782171346.866,0
1782171346.876,0
1782171346.886,0
1782171346.897,0
1782171346.906,0
1782171346.916,0
1782171346.927,0
1782171346.937,0
1782171346.947,0
1782171346.956,0
1782171346.967,0
1782171346.977,0
1782171346.987,0
1782171346.996,0
1782171347.006,0
1782171347.017,0
1782171347.027,0
1782171347.036,0
1782171347.046,0
1782171347.057,0
1782171347.067,0
1782171347.077,0
1782171347.087,0
1782171347.098,0
1782171347.108,0
1782171347.118,0
1782171347.127,0
1782171347.138,0
1782171347.148,0
1782171347.158,0
1782171347.168,0
1782171347.178,0
1782171347.188,0
1782171347.198,0
1782171347.207,0
1782171347.218,0
1782171347.228,0
1782171347.238,0
1782171347.248,0
1782171347.258,0
1782171347.269,0
1782171347.279,0
1782171347.289,0
1782171347.299,0
1782171347.309,0
1782171347.319,0
1782171347.329,0
1782171347.338,0
1782171347.349,0
1782171347.359,0
1782171347.369,0
1782171347.378,0
1782171347.389,0
1782171347.399,0
1782171347.409,0
1782171347.419,0
1782171347.429,0
1782171347.439,0
1782171347.449,0
1782171347.459,0
1782171347.469,0
1782171347.479,0
1782171347.489,0
1782171347.499,0
1782171347.509,0
1782171347.519,0
1782171347.529,0
1782171347.539,0
1782171347.549,0
1782171347.559,0
1782171347.569,0
1782171347.579,0
1782171347.59,0
1782171347.6,0
1782171347.61,0
1782171347.621,0
1782171347.631,0
1782171347.64,0
1782171347.65,0
1782171347.66,0
1782171347.671,0
1782171347.68,0
1782171347.69,0
1782171347.7,0
1782171347.711,0
1782171347.72,0
1782171347.73,0
1782171347.74,0
1782171347.751,0
1782171347.761,0
1782171347.771,0
1782171347.781,0
1782171347.792,0
1782171347.802,0
1782171347.811,0
1782171347.821,0
1782171347.832,0
1782171347.842,0
1782171347.851,0
1782171347.862,0
1782171347.872,0
1782171347.882,0
1782171347.891,0
1782171347.901,0
1782171347.911,0
1782171347.922,0
1782171347.931,0
1782171347.941,0
1782171347.952,0
1782171347.962,0
1782171347.972,0
1782171347.981,0
1782171347.991,0
1782171348.002,0
1782171348.012,0
1782171348.021,0
1782171348.031,0
1782171348.042,0
1782171348.052,0
1782171348.061,0
1782171348.071,0
1782171348.082,0
1782171348.092,0
1782171348.102,0
1782171348.112,0
1782171348.123,0
1782171348.133,0
1782171348.143,0
1782171348.152,0
1782171348.163,0
1782171348.173,0
1782171348.183,0
1782171348.192,0
1782171348.203,0
1782171348.213,0
1782171348.223,0
1782171348.232,0
1782171348.243,0
1782171348.253,0
1782171348.263,0
1782171348.274,0
1782171348.284,0
1782171348.294,0
1782171348.304,0
1782171348.314,0
1782171348.324,0
1782171348.334,0
1782171348.344,0
1782171348.355,0
1782171348.364,0
1782171348.374,0
1782171348.384,0
1782171348.395,0
1782171348.404,0
1782171348.414,0
1782171348.424,0
1782171348.434,0
1782171348.444,0
1782171348.454,0
1782171348.464,0
1782171348.474,0
1782171348.485,0
1782171348.494,0
1782171348.504,0
1782171348.515,0
1782171348.525,0
1782171348.534,0
1782171348.544,0
1782171348.554,0
1782171348.565,0
1782171348.574,0
1782171348.584,0
1782171348.594,0
1782171348.605,0
1782171348.615,0
1782171348.625,0
1782171348.635,0
1782171348.645,0
1782171348.656,0
1782171348.665,0
1782171348.675,0
1782171348.686,0
1782171348.696,0
1782171348.705,0
1782171348.715,0
1782171348.725,0
1782171348.736,0
1782171348.745,0
1782171348.755,0
1782171348.765,0
1782171348.776,0
1782171348.786,0
1782171348.796,0
1782171348.807,0
1782171348.817,0
1782171348.827,0
1782171348.836,0
1782171348.847,0
1782171348.857,0
1782171348.867,0
1782171348.876,0
1782171348.887,0
1782171348.897,0
1782171348.908,0
1782171348.916,0
1782171348.926,0
1782171348.937,0
1782171348.947,0
1782171348.956,0
1782171348.967,0
1782171348.977,0
1782171348.987,0
1782171348.997,0
1782171349.007,0
1782171349.017,0
1782171349.027,0
1782171349.037,0
1782171349.046,0
1782171349.057,0
1782171349.067,0
1782171349.077,0
1782171349.086,0
1782171349.097,0
1782171349.108,0
1782171349.117,0
1782171349.127,0
1782171349.138,0
1782171349.148,0
1782171349.158,0
1782171349.169,0
1782171349.178,0
1782171349.188,0
1782171349.198,0
1782171349.209,0
1782171349.218,0
1782171349.228,0
1782171349.238,0
1782171349.249,0
1782171349.258,0
1782171349.268,0
1782171349.278,0
1782171349.288,0
1782171349.299,0
1782171349.309,0
1782171349.319,0
1782171349.329,0
1782171349.34,0
1782171349.349,0
1782171349.359,0
1782171349.37,0
1782171349.38,0
1782171349.389,0
1782171349.399,0
1782171349.409,0
1782171349.42,0
1782171349.429,0
1782171349.439,4
1782171349.449,12
1782171349.46,24
1782171349.469,34
1782171349.479,43
1782171349.489,55
1782171349.499,68
1782171349.51,81
1782171349.519,92
1782171349.529,104
1782171349.54,117
1782171349.55,129
1782171349.559,142
1782171349.569,153
1782171349.58,165
1782171349.59,176
1782171349.599,186
1782171349.609,195
1782171349.62,206
1782171349.63,216
1782171349.64,223
1782171349.65,233
1782171349.661,240
1782171349.671,245
1782171349.681,253
1782171349.69,258
1782171349.7,262
1782171349.711,267
1782171349.721,270
1782171349.73,269
1782171349.74,272
1782171349.751,274
1782171349.761,275
1782171349.77,277
1782171349.78,277
1782171349.791,275
1782171349.801,275
1782171349.811,275
1782171349.822,273
1782171349.832,273
1782171349.842,272
1782171349.852,271
1782171349.862,272
1782171349.872,268
1782171349.882,269
1782171349.892,269
1782171349.901,270
1782171349.912,270
1782171349.922,272
1782171349.932,272
1782171349.941,274
1782171349.952,274
1782171349.962,280
1782171349.972,281
1782171349.982,282
1782171349.992,288
1782171350.002,290
1782171350.012,294
1782171350.023,298
1782171350.032,304
1782171350.042,309
1782171350.052,312
1782171350.062,319
1782171350.072,324
1782171350.082,330
1782171350.092,335
1782171350.102,342
1782171350.112,346
1782171350.122,351
1782171350.132,357
1782171350.142,363
1782171350.153,369
1782171350.163,375
1782171350.173,379
1782171350.183,383
1782171350.194,388
1782171350.203,391
1782171350.213,396
1782171350.223,398
1782171350.234,402
1782171350.243,403
1782171350.253,406
1782171350.264,407
1782171350.274,409
1782171350.283,410
1782171350.293,412
1782171350.303,413
1782171350.314,413
1782171350.324,412
1782171350.334,412
1782171350.344,412
1782171350.355,411
1782171350.365,411
1782171350.374,409
1782171350.385,408
1782171350.394,408
1782171350.405,407
1782171350.414,405
1782171350.425,406
1782171350.435,404
1782171350.445,404
1782171350.454,404
1782171350.464,404
1782171350.475,403
1782171350.485,405
1782171350.494,403
1782171350.504,404
1782171350.515,405
1782171350.525,405
1782171350.535,406
1782171350.544,407
1782171350.555,410
