tempo,Vo
1782129984.572,0
1782129984.582,0
1782129984.592,0
1782129984.604,0
1782129984.612,0
1782129984.622,0
1782129984.632,0
1782129984.642,0
1782129984.653,0
1782129984.663,0
1782129984.673,0
1782129984.683,0
1782129984.694,0
1782129984.703,0
1782129984.713,0
1782129984.723,0
1782129984.734,0
1782129984.743,0
1782129984.753,0
1782129984.763,0
1782129984.774,0
1782129984.783,0
1782129984.793,0
1782129984.803,0
1782129984.814,0
1782129984.824,0
1782129984.834,0
1782129984.844,0
1782129984.855,0
1782129984.865,0
1782129984.874,0
1782129984.884,0
1782129984.895,0
1782129984.905,0
1782129984.914,0
1782129984.924,0
1782129984.935,0
1782129984.945,0
1782129984.954,0
1782129984.964,0
1782129984.974,0
1782129984.985,0
1782129984.994,0
1782129985.004,0
1782129985.015,0
1782129985.025,0
1782129985.035,0
1782129985.044,0
1782129985.054,0
1782129985.065,0
1782129985.075,0
1782129985.084,0
1782129985.095,0
1782129985.105,0
1782129985.115,0
1782129985.124,0
1782129985.135,0
1782129985.145,0
1782129985.155,0
1782129985.165,0
1782129985.176,0
1782129985.186,0
1782129985.196,0
1782129985.206,0
1782129985.215,0
1782129985.226,0
1782129985.236,0
1782129985.246,0
1782129985.255,0
1782129985.266,0
1782129985.276,0
1782129985.286,0
1782129985.295,0
1782129985.306,0
1782129985.316,0
1782129985.326,0
1782129985.336,0
1782129985.347,0
1782129985.357,0
1782129985.367,0
1782129985.377,0
1782129985.387,0
1782129985.397,0
1782129985.407,0
1782129985.417,0
1782129985.427,0
1782129985.438,0
1782129985.447,0
1782129985.457,0
1782129985.467,0
1782129985.477,0
1782129985.487,0
1782129985.497,0
1782129985.506,0
1782129985.517,0
1782129985.527,0
1782129985.537,0
1782129985.548,0
1782129985.557,0
1782129985.567,0
1782129985.577,0
1782129985.588,0
1782129985.597,0
1782129985.607,0
1782129985.617,0
1782129985.628,0
1782129985.637,0
1782129985.647,0
1782129985.657,0
1782129985.668,0
1782129985.678,0
1782129985.688,0
1782129985.698,0
1782129985.708,0
1782129985.719,0
1782129985.728,0
1782129985.738,0
1782129985.749,0
1782129985.759,0
1782129985.768,0
1782129985.778,0
1782129985.789,0
1782129985.799,0
1782129985.808,0
1782129985.818,0
1782129985.829,0
1782129985.839,0
1782129985.849,0
1782129985.859,0
1782129985.87,0
1782129985.88,0
1782129985.89,0
1782129985.899,0
1782129985.909,0
1782129985.92,0
1782129985.93,0
1782129985.939,0
1782129985.949,0
1782129985.96,0
1782129985.97,0
1782129985.979,0
1782129985.99,0
1782129986,0
1782129986.01,0
1782129986.019,0
1782129986.029,0
1782129986.04,0
1782129986.05,0
1782129986.06,0
1782129986.069,0
1782129986.08,0
1782129986.09,0
1782129986.1,0
1782129986.109,0
1782129986.12,0
1782129986.13,0
1782129986.14,0
1782129986.149,0
1782129986.16,0
1782129986.17,0
1782129986.18,0
1782129986.19,0
1782129986.201,0
1782129986.211,0
1782129986.221,0
1782129986.231,0
1782129986.241,0
1782129986.251,0
1782129986.261,0
1782129986.271,0
1782129986.281,0
1782129986.291,0
1782129986.301,0
1782129986.311,0
1782129986.32,0
1782129986.331,0
1782129986.341,0
1782129986.351,0
1782129986.361,0
1782129986.372,0
1782129986.382,0
1782129986.392,0
1782129986.403,0
1782129986.412,0
1782129986.422,0
1782129986.432,0
1782129986.443,0
1782129986.452,0
1782129986.462,0
1782129986.472,0
1782129986.483,0
1782129986.492,0
1782129986.502,0
1782129986.512,0
1782129986.523,0
1782129986.532,0
1782129986.542,0
1782129986.552,0
1782129986.562,0
1782129986.573,0
1782129986.582,0
1782129986.592,0
1782129986.603,0
1782129986.613,0
1782129986.622,0
1782129986.632,0
1782129986.643,0
1782129986.653,0
1782129986.662,0
1782129986.672,0
1782129986.683,0
1782129986.693,0
1782129986.703,0
1782129986.713,0
1782129986.724,0
1782129986.734,0
1782129986.744,0
1782129986.753,0
1782129986.764,0
1782129986.774,0
1782129986.784,0
1782129986.794,0
1782129986.803,0
1782129986.814,0
1782129986.824,0
1782129986.833,0
1782129986.844,8
1782129986.854,27
1782129986.864,49
1782129986.874,77
1782129986.884,104
1782129986.895,134
1782129986.905,168
1782129986.915,202
1782129986.924,230
1782129986.935,265
1782129986.945,296
1782129986.955,329
1782129986.965,354
1782129986.975,381
1782129986.985,407
1782129986.995,428
1782129987.004,446
1782129987.015,463
1782129987.025,475
1782129987.035,485
1782129987.044,489
1782129987.054,493
1782129987.065,494
1782129987.075,491
1782129987.086,486
1782129987.094,479
1782129987.105,470
1782129987.115,459
1782129987.125,445
1782129987.135,434
1782129987.145,420
1782129987.155,403
1782129987.165,387
1782129987.175,372
1782129987.185,356
1782129987.195,340
1782129987.205,326
1782129987.216,311
1782129987.226,298
1782129987.236,286
1782129987.247,275
1782129987.257,267
1782129987.266,261
1782129987.276,254
1782129987.286,250
1782129987.297,247
1782129987.306,246
1782129987.316,245
1782129987.327,245
1782129987.337,249
1782129987.346,254
1782129987.356,257
1782129987.366,264
1782129987.377,270
1782129987.387,276
1782129987.397,285
1782129987.408,293
1782129987.418,300
1782129987.428,307
1782129987.437,314
1782129987.448,323
1782129987.458,330
1782129987.468,337
1782129987.477,341
1782129987.487,347
1782129987.498,350
1782129987.508,356
1782129987.517,359
1782129987.528,362
1782129987.537,363
1782129987.548,365
1782129987.557,364
1782129987.567,364
1782129987.578,364
1782129987.588,364
1782129987.598,360
1782129987.607,359
1782129987.617,354
1782129987.628,352
1782129987.638,349
1782129987.648,346
1782129987.658,343
1782129987.668,339
1782129987.678,336
1782129987.688,331
1782129987.697,328
1782129987.708,325
1782129987.718,321
1782129987.728,318
1782129987.738,317
1782129987.749,312
1782129987.759,311
1782129987.769,308
1782129987.779,310
1782129987.789,308
1782129987.799,309
1782129987.809,307
1782129987.819,307
1782129987.829,307
1782129987.839,308
1782129987.849,309
1782129987.859,311
1782129987.869,312
1782129987.879,313
1782129987.889,316
1782129987.9,317
1782129987.91,320
1782129987.92,321
1782129987.93,322
1782129987.94,324
1782129987.95,327
1782129987.96,329
1782129987.97,330
1782129987.981,330
1782129987.989,332
1782129988,332
1782129988.01,333
1782129988.021,334
1782129988.03,335
1782129988.04,335
1782129988.05,337
1782129988.061,337
1782129988.07,336
1782129988.08,334
1782129988.09,335
1782129988.101,336
1782129988.11,333
1782129988.12,333
1782129988.13,334
1782129988.14,331
1782129988.151,331
1782129988.16,329
1782129988.17,329
1782129988.181,328
1782129988.19,327
1782129988.2,326
1782129988.21,325
1782129988.22,326
1782129988.231,324
1782129988.241,323
1782129988.251,324
1782129988.262,324
1782129988.272,322
1782129988.282,321
1782129988.291,322
1782129988.301,323
1782129988.312,322
1782129988.322,322
1782129988.331,322
1782129988.341,321
1782129988.352,323
1782129988.362,322
1782129988.371,323
1782129988.381,322
1782129988.392,323
1782129988.402,323
1782129988.412,324
1782129988.422,325
1782129988.433,325
1782129988.443,326
1782129988.453,326
1782129988.462,327
1782129988.472,328
1782129988.483,328
1782129988.493,329
1782129988.502,329
1782129988.513,328
1782129988.523,328
1782129988.533,329
1782129988.542,329
1782129988.552,330
1782129988.563,328
1782129988.573,330
1782129988.582,328
1782129988.593,328
1782129988.603,328
1782129988.613,328
1782129988.623,327
1782129988.633,328
1782129988.643,328
1782129988.653,328
1782129988.663,327
1782129988.672,325
1782129988.683,325
1782129988.693,327
1782129988.703,327
1782129988.712,325
1782129988.723,325
1782129988.733,327
1782129988.743,326
1782129988.753,325
1782129988.764,326
1782129988.774,326
1782129988.784,326
1782129988.795,324
1782129988.803,325
1782129988.814,326
1782129988.824,325
1782129988.834,324
1782129988.844,325
1782129988.854,327
1782129988.864,326
1782129988.875,327
1782129988.884,326
1782129988.894,325
1782129988.904,327
1782129988.914,326
1782129988.925,326
1782129988.935,327
1782129988.945,327
1782129988.955,326
1782129988.966,328
1782129988.975,328
1782129988.985,326
1782129988.995,328
1782129989.005,327
1782129989.015,326
1782129989.025,328
1782129989.036,327
1782129989.045,327
1782129989.055,327
1782129989.065,327
1782129989.075,327
1782129989.086,328
1782129989.095,326
1782129989.105,327
1782129989.115,325
1782129989.126,327
1782129989.136,327
1782129989.145,325
1782129989.155,326
1782129989.166,326
1782129989.176,327
1782129989.185,327
1782129989.195,327
1782129989.205,327
1782129989.216,328
1782129989.225,327
1782129989.235,325
1782129989.246,327
1782129989.256,327
1782129989.266,327
1782129989.276,326
1782129989.287,327
1782129989.297,326
1782129989.307,326
1782129989.316,326
1782129989.327,327
1782129989.337,326
1782129989.347,325
1782129989.356,327
1782129989.367,326
1782129989.377,327
1782129989.387,326
1782129989.396,327
1782129989.406,327
1782129989.417,327
1782129989.427,327
1782129989.437,325
1782129989.448,327
1782129989.458,325
1782129989.468,326
1782129989.478,326
1782129989.487,326
1782129989.498,328
1782129989.508,326
1782129989.518,327
1782129989.527,325
1782129989.538,327
1782129989.548,326
1782129989.558,327
1782129989.567,326
1782129989.578,329
1782129989.588,327
1782129989.598,328
1782129989.607,327
1782129989.618,327
1782129989.628,327
1782129989.638,327
1782129989.648,327
1782129989.658,328
1782129989.668,326
1782129989.678,327
1782129989.688,326
1782129989.698,327
1782129989.708,326
1782129989.718,326
1782129989.728,325
1782129989.738,326
1782129989.748,326
1782129989.758,326
1782129989.769,327
1782129989.779,325
1782129989.789,328
1782129989.799,326
1782129989.809,327
1782129989.82,326
1782129989.829,327
1782129989.839,327
1782129989.85,326
1782129989.859,327
1782129989.869,327
1782129989.879,325
1782129989.889,327
1782129989.9,326
1782129989.909,325
1782129989.919,327
1782129989.929,325
1782129989.94,327
1782129989.95,325
1782129989.96,326
1782129989.97,326
1782129989.981,327
1782129989.991,326
1782129990,325
1782129990.01,327
1782129990.021,326
1782129990.031,327
1782129990.04,326
1782129990.05,326
1782129990.061,327
1782129990.071,325
1782129990.08,327
1782129990.09,327
1782129990.101,326
1782129990.111,327
1782129990.12,326
1782129990.13,325
1782129990.141,326
1782129990.151,326
1782129990.161,326
1782129990.17,327
1782129990.181,326
1782129990.191,326
1782129990.201,324
1782129990.21,324
1782129990.221,327
1782129990.231,325
1782129990.276,326
1782129990.276,320
1782129990.276,303
1782129990.278,282
1782129990.281,256
1782129990.291,230
1782129990.302,199
1782129990.311,167
1782129990.322,132
1782129990.332,99
1782129990.341,69
1782129990.352,36
1782129990.362,6
1782129990.372,0
1782129990.381,0
1782129990.392,0
1782129990.402,0
1782129990.412,0
1782129990.421,0
1782129990.432,0
1782129990.442,0
1782129990.452,0
1782129990.462,0
1782129990.473,0
1782129990.483,0
1782129990.493,0
1782129990.504,0
1782129990.513,0
1782129990.523,0
1782129990.533,0
1782129990.544,0
1782129990.553,0
1782129990.564,0
1782129990.573,0
1782129990.583,0
1782129990.592,0
1782129990.603,0
1782129990.613,0
1782129990.623,10
1782129990.633,23
1782129990.643,36
1782129990.654,47
1782129990.663,54
1782129990.673,63
1782129990.683,69
1782129990.693,73
1782129990.703,76
1782129990.714,79
1782129990.723,79
1782129990.733,78
1782129990.743,76
1782129990.754,74
1782129990.763,68
1782129990.773,62
1782129990.783,55
1782129990.793,49
1782129990.804,43
1782129990.814,35
1782129990.825,28
1782129990.835,20
1782129990.845,10
1782129990.854,4
1782129990.864,0
1782129990.875,0
1782129990.885,0
1782129990.894,0
1782129990.904,0
1782129990.914,0
1782129990.925,0
1782129990.934,0
1782129990.944,0
1782129990.954,0
1782129990.965,0
1782129990.975,0
1782129990.985,0
1782129990.995,0
1782129991.006,0
1782129991.016,0
1782129991.025,0
1782129991.035,0
1782129991.046,0
1782129991.056,0
1782129991.065,0
1782129991.076,0
1782129991.086,0
1782129991.096,0
1782129991.105,0
1782129991.115,0
1782129991.126,2
1782129991.136,5
1782129991.145,7
1782129991.155,10
1782129991.166,12
1782129991.176,13
1782129991.187,16
1782129991.195,15
1782129991.205,18
1782129991.216,18
1782129991.226,15
1782129991.235,17
1782129991.246,15
1782129991.256,16
1782129991.266,14
1782129991.275,14
1782129991.285,12
1782129991.296,9
1782129991.306,7
1782129991.317,6
1782129991.327,5
1782129991.337,3
1782129991.347,0
1782129991.357,0
1782129991.367,0
1782129991.377,0
1782129991.387,0
1782129991.398,0
1782129991.407,0
1782129991.417,0
1782129991.427,0
1782129991.437,0
1782129991.447,0
1782129991.457,0
1782129991.467,0
1782129991.477,0
1782129991.487,0
1782129991.498,0
1782129991.508,0
1782129991.518,0
1782129991.529,0
1782129991.538,0
1782129991.548,0
1782129991.558,0
1782129991.569,0
1782129991.578,0
1782129991.588,0
1782129991.598,0
1782129991.609,0
1782129991.618,0
1782129991.628,0
1782129991.638,0
1782129991.649,0
1782129991.658,1
1782129991.668,2
1782129991.678,1
1782129991.688,1
1782129991.699,1
1782129991.708,3
1782129991.718,3
1782129991.728,2
1782129991.738,2
1782129991.748,2
1782129991.758,2
1782129991.768,1
1782129991.779,1
1782129991.788,1
1782129991.798,2
1782129991.808,1
1782129991.819,0
1782129991.829,0
1782129991.839,0
1782129991.849,0
1782129991.86,0
1782129991.87,0
1782129991.879,0
1782129991.889,0
1782129991.9,0
1782129991.91,0
1782129991.919,0
1782129991.93,0
1782129991.94,0
1782129991.95,0
1782129991.959,0
1782129991.969,0
1782129991.979,0
1782129991.99,0
1782129992,0
1782129992.011,0
1782129992.021,0
1782129992.031,0
1782129992.041,0
1782129992.05,0
1782129992.06,0
1782129992.071,0
1782129992.081,0
1782129992.09,0
1782129992.101,0
1782129992.111,0
